iter	Passed	Remaining
0	1115	783293
1	1145	401611
2	1171	273284
3	1202	210065
4	1247	174139
5	1281	148853
6	1325	131816
7	1358	117994
8	1402	108176
9	1443	100038
10	1478	92998
11	1528	87990
12	1587	84250
13	1672	82316
14	1700	77986
15	1743	74850
16	1786	72073
17	1818	69205
18	1895	68231
19	1937	66162
20	1968	63943
21	1997	61836
22	2031	60062
23	2077	58782
24	2115	57376
25	2150	55996
26	2180	54597
27	2220	53526
28	2246	52215
29	2273	51009
30	2302	49917
31	2332	48899
32	2376	48253
33	2409	47402
34	2447	46715
35	2511	46528
36	2564	46152
37	2618	45816
38	2647	45080
39	2714	44984
40	2741	44260
41	2778	43723
42	2808	43103
43	2837	42500
44	2866	41914
45	2898	41400
46	2931	40910
47	2992	40840
48	3068	40948
49	3101	40500
50	3128	39993
51	3172	39722
52	3218	39477
53	3280	39426
54	3328	39219
55	3395	39235
56	3463	39257
57	3518	39133
58	3595	39246
59	3623	38835
60	3695	38897
61	3734	38607
62	3767	38270
63	3797	37911
64	3844	37739
65	3876	37415
66	3904	37066
67	3935	36747
68	3967	36452
69	3994	36122
70	4061	36152
71	4090	35844
72	4120	35556
73	4150	35278
74	4183	35031
75	4220	34822
76	4253	34576
77	4286	34343
78	4319	34119
79	4359	33946
80	4413	33889
81	4467	33836
82	4496	33589
83	4529	33379
84	4571	33239
85	4614	33105
86	4645	32889
87	4685	32744
88	4721	32569
89	4749	32350
90	4780	32151
91	4807	31925
92	4846	31787
93	4889	31675
94	4915	31456
95	4956	31339
96	4989	31174
97	5051	31184
98	5093	31078
99	5121	30881
100	5147	30683
101	5191	30590
102	5219	30401
103	5245	30211
104	5311	30250
105	5386	30337
106	5427	30234
107	5467	30119
108	5492	29933
109	5530	29814
110	5583	29776
111	5606	29584
112	5634	29421
113	5659	29241
114	5694	29114
115	5720	28947
116	5751	28806
117	5778	28649
118	5831	28620
119	5861	28477
120	5888	28322
121	5923	28210
122	5954	28078
123	6001	28024
124	6033	27900
125	6074	27817
126	6099	27664
127	6132	27549
128	6162	27422
129	6190	27286
130	6220	27159
131	6247	27026
132	6277	26903
133	6329	26878
134	6360	26762
135	6390	26643
136	6448	26643
137	6500	26612
138	6542	26544
139	6568	26416
140	6593	26282
141	6617	26142
142	6646	26028
143	6673	25907
144	6717	25852
145	6745	25733
146	6775	25628
147	6826	25597
148	6853	25480
149	6879	25364
150	6909	25258
